#Command used: mpirun --mca pml ob1 --mca btl self,tcp --map-by core -np 2 -report-bindings ./IMB-MPI1 PingPong -msglog 28 
#Nodes involved: ct1pg-gnode001
#lambda = 5.06 usec, bandwith= 5149.45 MB/s
#bytes #repetitions   t[usec]   Mbytes/sec   t[usec] computed  
0,1000,5.39,0.0,5.06
1,1000,5.02,0.2,5.06
2,1000,5.02,0.4,5.06
4,1000,5.02,0.8,5.06
8,1000,5.02,1.59,5.06
16,1000,5.02,3.19,5.06
32,1000,5.01,6.38,5.07
64,1000,5.02,12.74,5.07
128,1000,5.09,25.15,5.08
256,1000,5.13,49.94,5.11
512,1000,5.17,98.99,5.16
1024,1000,5.82,175.91,5.26
2048,1000,5.53,370.35,5.46
4096,1000,6.44,636.27,5.86
8192,1000,6.89,1189.19,6.65
16384,1000,8.97,1825.85,8.24
32768,1000,14.36,2281.89,11.42
65536,640,30.13,2175.11,17.79
131072,320,44.48,2946.98,30.51
262144,160,61.98,4229.63,55.97
524288,80,97.49,5377.7,106.87
1048576,40,164.9,6358.79,208.69
2097152,20,320.72,6538.79,412.32
4194304,10,659.52,6359.59,819.58
8388608,5,1556.03,5391.02,1634.09
16777216,2,3297.55,5087.78,3263.12
33554432,1,6613.97,5073.27,6521.18
67108864,1,13197.8,5084.85,13037.31
134217728,1,26277.02,5107.8,26069.55
268435456,1,51982.27,5163.98,52134.05
