#Command used: mpirun --map-by core -np 2 -report-bindings ./IMB-MPI1 PingPong -msglog 28
#Nodes involved: ct1pt-tnode008
#lambda = 5.47 usec, bandwith= 5208.32 MB/s
#bytes #repetitions   t[usec]   Mbytes/sec   t[usec] computed  
0,1000,5.41,0.0,5.47
1,1000,5.46,0.18,5.47
2,1000,5.51,0.36,5.47
4,1000,5.49,0.73,5.47
8,1000,5.48,1.46,5.47
16,1000,5.48,2.92,5.47
32,1000,5.49,5.83,5.48
64,1000,5.51,11.61,5.48
128,1000,5.58,22.93,5.49
256,1000,5.61,45.64,5.52
512,1000,5.67,90.24,5.57
1024,1000,6.27,163.24,5.67
2048,1000,6.11,335.36,5.86
4096,1000,7.09,577.61,6.26
8192,1000,7.47,1096.07,7.04
16384,1000,9.66,1696.73,8.62
32768,1000,15.64,2094.73,11.76
65536,640,30.46,2151.67,18.05
131072,320,43.32,3025.52,30.64
262144,160,62.2,4214.74,55.8
524288,80,96.31,5443.81,106.13
1048576,40,163.55,6411.28,206.8
2097152,20,308.29,6802.45,408.12
4194304,10,602.6,6960.29,810.78
8388608,5,1484.52,5650.72,1616.09
16777216,2,3291.46,5097.19,3226.71
33554432,1,6451.14,5201.32,6447.94
67108864,1,13200.73,5083.72,12890.42
134217728,1,25647.25,5233.22,25775.37
268435456,1,51535.62,5208.74,51545.27
