#Command used: mpirun --mca pml ob1 --mca btl self,tcp --map-by core -np 2 -report-bindings ./IMB-MPI1 PingPong -msglog 28 
#Nodes involved: ct1pg-gnode001
#lambda = 0.23 usec, bandwith= 6186.6 MB/s
#bytes #repetitions   t[usec]   Mbytes/sec   t[usec] computed  
0,1000,0.22,0.0,0.23
1,1000,0.22,4.5,0.23
2,1000,0.21,9.62,0.23
4,1000,0.21,18.64,0.23
8,1000,0.22,36.44,0.23
16,1000,0.22,73.62,0.23
32,1000,0.26,121.96,0.24
64,1000,0.26,248.82,0.24
128,1000,0.36,351.07,0.25
256,1000,0.39,661.86,0.27
512,1000,0.47,1090.39,0.31
1024,1000,0.57,1808.17,0.4
2048,1000,0.78,2623.99,0.56
4096,1000,1.2,3425.99,0.89
8192,1000,1.91,4297.01,1.55
16384,1000,2.95,5545.42,2.88
32768,1000,4.74,6910.5,5.53
65536,640,8.1,8093.41,10.82
131072,320,14.71,8910.48,21.42
262144,160,13.93,18820.8,42.6
524288,80,25.44,20610.19,84.98
1048576,40,60.26,17401.94,169.72
2097152,20,154.71,13555.64,339.21
4194304,10,326.43,12849.14,678.2
8388608,5,943.6,8890.04,1356.16
16777216,2,2466.35,6802.44,2712.09
33554432,1,5441.34,6166.58,5423.95
67108864,1,11290.6,5943.78,10847.68
134217728,1,21809.11,6154.21,21695.13
268435456,1,43255.9,6205.75,43390.03
