#Command used: mpirun -n 2 -ppn 1 -hosts ct1pg-gnode001,ct1pg-gnode003 ./IMB-MPI1 PingPong -msglog 28
#Nodes involved: ct1pg-gnode001+ct1pg-gnode003
#lambda = 1.4 usec, bandwith= 12200.24 MB/s
#bytes #repetitions   t[usec]   Mbytes/sec   t[usec] computed  
0,1000,1.37,0.0,1.4
1,1000,1.37,0.73,1.4
2,1000,1.38,1.45,1.4
4,1000,1.37,2.91,1.4
8,1000,1.37,5.83,1.4
16,1000,1.37,11.66,1.4
32,1000,1.4,22.91,1.4
64,1000,1.6,40.05,1.41
128,1000,1.64,78.06,1.41
256,1000,1.9,134.75,1.42
512,1000,1.97,260.29,1.44
1024,1000,2.18,470.2,1.48
2048,1000,2.87,714.72,1.57
4096,1000,3.6,1138.42,1.74
8192,1000,4.55,1801.79,2.07
16384,1000,6.39,2565.47,2.74
32768,1000,10.57,3100.72,4.09
65536,640,13.61,4813.67,6.77
131072,320,22.75,5761.28,12.14
262144,160,33.51,7822.51,22.89
524288,80,56.02,9358.14,44.37
1048576,40,98.57,10638.2,87.35
2097152,20,184.33,11377.16,173.29
4194304,10,354.05,11846.48,345.19
8388608,5,698.73,12005.53,688.98
16777216,2,1387.06,12095.54,1376.55
33554432,1,2768.99,12117.92,2751.71
67108864,1,5517.45,12163.02,5502.02
134217728,1,10986.88,12216.18,11002.64
268435456,1,22004.46,12199.14,22003.87
