#Command used: mpirun --mca pml ob1 --mca btl self,tcp --map-by node -np 2 -report-bindings ./IMB-MPI1 PingPong -msglog 28
#Nodes involved: ct1pg-gnode001+ct1pg-gnode003
#lambda = 15.6 usec, bandwith= 2122.67 MB/s
#bytes #repetitions   t[usec]   Mbytes/sec   t[usec] computed  
0,1000,15.45,0.0,15.6
1,1000,15.72,0.06,15.6
2,1000,15.54,0.13,15.6
4,1000,15.55,0.26,15.6
8,1000,15.53,0.52,15.6
16,1000,15.64,1.02,15.61
32,1000,15.67,2.04,15.62
64,1000,15.67,4.08,15.63
128,1000,16.02,7.99,15.66
256,1000,16.17,15.84,15.72
512,1000,16.42,31.18,15.84
1024,1000,16.84,60.8,16.08
2048,1000,38.72,52.9,16.56
4096,1000,39.15,104.62,17.53
8192,1000,39.88,205.43,19.46
16384,1000,41.76,392.32,23.32
32768,1000,49.01,668.59,31.04
65536,640,80.62,812.94,46.47
131072,320,134.36,975.5,77.35
262144,160,206.62,1268.71,139.1
524288,80,319.52,1640.87,262.59
1048576,40,527.29,1988.62,509.59
2097152,20,948.13,2211.89,1003.58
4194304,10,1928.79,2174.58,1991.56
8388608,5,4046.2,2073.2,3967.52
16777216,2,8140.43,2060.97,7919.44
33554432,1,16310.59,2057.22,15823.27
67108864,1,32528.35,2063.09,31630.95
134217728,1,64961.08,2066.13,63246.29
268435456,1,125319.18,2142.01,126476.98
