#Command used: mpirun -np 2 --map-by node -report-bindings ./IMB-MPI1 PingPong -msglog 28
#Nodes involved: ct1pg-gnode001+ct1pg-gnode003
#lambda = 1.41 usec, bandwith= 12173.45 MB/s
#bytes #repetitions   t[usec]   Mbytes/sec   t[usec] computed  
0,1000,1.37,0.0,1.41
1,1000,1.36,0.74,1.41
2,1000,1.37,1.46,1.41
4,1000,1.36,2.93,1.41
8,1000,1.36,5.87,1.41
16,1000,1.37,11.68,1.41
32,1000,1.39,22.97,1.41
64,1000,1.69,37.8,1.42
128,1000,1.74,73.6,1.42
256,1000,2.0,128.21,1.43
512,1000,2.07,247.16,1.45
1024,1000,2.31,443.37,1.49
2048,1000,2.98,686.9,1.58
4096,1000,3.97,1030.82,1.75
8192,1000,5.52,1483.05,2.08
16384,1000,7.36,2226.37,2.76
32768,1000,10.04,3263.95,4.1
65536,640,14.49,4521.71,6.79
131072,320,23.52,5572.28,12.18
262144,160,33.96,7720.0,22.94
524288,80,58.13,9019.94,44.48
1048576,40,98.93,10599.46,87.55
2097152,20,184.84,11345.94,173.68
4194304,10,355.38,11802.24,345.96
8388608,5,698.14,12015.73,690.5
16777216,2,1385.85,12106.05,1379.59
33554432,1,2760.18,12156.6,2757.77
67108864,1,5513.16,12172.5,5514.13
134217728,1,11021.18,12178.16,11026.85
268435456,1,22054.12,12171.67,22052.3
