#Command used: mpirun --map-by socket -np 2 -report-bindings ./IMB-MPI1 PingPong -msglog 28 
#Nodes involved: ct1pg-gnode001
#lambda = 0.46 usec, bandwith= 5171.58 MB/s
#bytes #repetitions   t[usec]   Mbytes/sec   t[usec] computed  
0,1000,0.43,0.0,0.46
1,1000,0.42,2.4,0.46
2,1000,0.43,4.66,0.46
4,1000,0.42,9.59,0.46
8,1000,0.42,19.1,0.46
16,1000,0.42,38.35,0.46
32,1000,0.56,57.11,0.47
64,1000,0.57,112.34,0.47
128,1000,1.05,121.76,0.48
256,1000,1.08,236.7,0.51
512,1000,1.18,432.16,0.56
1024,1000,1.36,753.1,0.66
2048,1000,2.09,981.19,0.86
4096,1000,2.97,1380.14,1.25
8192,1000,4.64,1763.69,2.04
16384,1000,7.03,2331.86,3.63
32768,1000,12.7,2579.26,6.8
65536,640,23.35,2807.14,13.13
131072,320,44.23,2963.28,25.8
262144,160,14.62,17927.69,51.15
524288,80,26.84,19531.37,101.84
1048576,40,60.39,17363.93,203.22
2097152,20,152.53,13749.54,405.97
4194304,10,330.01,12709.5,811.49
8388608,5,748.65,11205.04,1622.52
16777216,2,2318.0,7237.79,3244.58
33554432,1,6334.67,5296.95,6488.69
67108864,1,12955.59,5179.92,12976.92
134217728,1,26149.18,5132.77,25953.39
268435456,1,51928.45,5169.33,51906.31
