0,1000,0.23,0.00
1,1000,0.23,4.27
2,1000,0.24,8.50
4,1000,0.24,16.99
8,1000,0.23,34.13
16,1000,0.24,68.04
32,1000,0.24,130.89
64,1000,0.25,260.04
128,1000,0.26,487.67
256,1000,0.28,914.52
512,1000,0.43,1189.60
1024,1000,0.45,2271.01
2048,1000,0.59,3449.40
4096,1000,0.85,4801.49
8192,1000,1.42,5777.40
16384,1000,2.32,7049.59
32768,1000,3.50,9359.47
65536,640,5.68,11541.42
131072,320,8.57,15294.19
262144,160,14.93,17562.03
524288,80,42.09,12455.33
1048576,40,81.29,12898.77
2097152,20,153.29,13681.22
4194304,10,381.60,10991.22
8388608,5,1108.13,7570.03
16777216,2,2428.70,6907.90
33554432,1,5908.15,5679.35
67108864,1,11805.53,5684.53
134217728,1,23704.65,5662.08
268435456,1,49197.44,5456.29
