0,1000,0.26,0.00
1,1000,0.27,3.72
2,1000,0.27,7.35
4,1000,0.27,14.68
8,1000,0.28,28.60
16,1000,0.28,57.79
32,1000,0.28,114.05
64,1000,0.28,225.28
128,1000,0.29,440.35
256,1000,0.31,837.10
512,1000,0.53,961.32
1024,1000,0.59,1739.79
2048,1000,0.72,2830.16
4096,1000,0.96,4261.05
8192,1000,1.50,5474.43
16384,1000,2.39,6862.94
32768,1000,3.62,9055.18
65536,640,5.89,11126.33
131072,320,8.85,14812.52
262144,160,15.65,16749.48
524288,80,42.31,12392.26
1048576,40,85.17,12310.89
2097152,20,160.66,13053.14
4194304,10,407.67,10288.46
8388608,5,1085.80,7725.72
16777216,2,2151.65,7797.37
33554432,1,6053.31,5543.15
67108864,1,12653.23,5303.69
134217728,1,25878.98,5186.36
268435456,1,52541.45,5109.02
