0,1000,5.41,0.00
1,1000,5.46,0.18
2,1000,5.51,0.36
4,1000,5.49,0.73
8,1000,5.48,1.46
16,1000,5.48,2.92
32,1000,5.49,5.83
64,1000,5.51,11.61
128,1000,5.58,22.93
256,1000,5.61,45.64
512,1000,5.67,90.24
1024,1000,6.27,163.24
2048,1000,6.11,335.36
4096,1000,7.09,577.61
8192,1000,7.47,1096.07
16384,1000,9.66,1696.73
32768,1000,15.64,2094.73
65536,640,30.46,2151.67
131072,320,43.32,3025.52
262144,160,62.20,4214.74
524288,80,96.31,5443.81
1048576,40,163.55,6411.28
2097152,20,308.29,6802.45
4194304,10,602.60,6960.29
8388608,5,1484.52,5650.72
16777216,2,3291.46,5097.19
33554432,1,6451.14,5201.32
67108864,1,13200.73,5083.72
134217728,1,25647.25,5233.22
268435456,1,51535.62,5208.74
