0,1000,5.39,0.00
1,1000,5.02,0.20
2,1000,5.02,0.40
4,1000,5.02,0.80
8,1000,5.02,1.59
16,1000,5.02,3.19
32,1000,5.01,6.38
64,1000,5.02,12.74
128,1000,5.09,25.15
256,1000,5.13,49.94
512,1000,5.17,98.99
1024,1000,5.82,175.91
2048,1000,5.53,370.35
4096,1000,6.44,636.27
8192,1000,6.89,1189.19
16384,1000,8.97,1825.85
32768,1000,14.36,2281.89
65536,640,30.13,2175.11
131072,320,44.48,2946.98
262144,160,61.98,4229.63
524288,80,97.49,5377.70
1048576,40,164.90,6358.79
2097152,20,320.72,6538.79
4194304,10,659.52,6359.59
8388608,5,1556.03,5391.02
16777216,2,3297.55,5087.78
33554432,1,6613.97,5073.27
67108864,1,13197.80,5084.85
134217728,1,26277.02,5107.80
268435456,1,51982.27,5163.98
