0,1000,0.20,0.00
1,1000,0.20,4.97
2,1000,0.19,10.51
4,1000,0.19,20.92
8,1000,0.19,41.79
16,1000,0.19,84.11
32,1000,0.22,143.88
64,1000,0.22,287.70
128,1000,0.30,422.67
256,1000,0.32,792.18
512,1000,0.40,1294.38
1024,1000,0.49,2098.59
2048,1000,0.74,2760.80
4096,1000,1.12,3665.93
8192,1000,1.87,4391.03
16384,1000,2.96,5534.19
32768,1000,4.81,6810.63
65536,640,8.30,7895.03
131072,320,15.05,8709.87
262144,160,12.66,20708.48
524288,80,22.30,23511.04
1048576,40,51.23,20466.33
2097152,20,139.61,15021.51
4194304,10,301.58,13907.78
8388608,5,859.91,9755.21
16777216,2,2276.99,7368.17
33554432,1,5226.93,6419.53
67108864,1,10386.30,6461.29
134217728,1,20709.90,6480.85
268435456,1,41485.73,6470.55
