0,1000,0.22,0.00
1,1000,0.22,4.50
2,1000,0.21,9.62
4,1000,0.21,18.64
8,1000,0.22,36.44
16,1000,0.22,73.62
32,1000,0.26,121.96
64,1000,0.26,248.82
128,1000,0.36,351.07
256,1000,0.39,661.86
512,1000,0.47,1090.39
1024,1000,0.57,1808.17
2048,1000,0.78,2623.99
4096,1000,1.20,3425.99
8192,1000,1.91,4297.01
16384,1000,2.95,5545.42
32768,1000,4.74,6910.50
65536,640,8.10,8093.41
131072,320,14.71,8910.48
262144,160,13.93,18820.80
524288,80,25.44,20610.19
1048576,40,60.26,17401.94
2097152,20,154.71,13555.64
4194304,10,326.43,12849.14
8388608,5,943.60,8890.04
16777216,2,2466.35,6802.44
33554432,1,5441.34,6166.58
67108864,1,11290.60,5943.78
134217728,1,21809.11,6154.21
268435456,1,43255.90,6205.75
