0,1000,1.37,0.00
1,1000,1.37,0.73
2,1000,1.38,1.45
4,1000,1.37,2.91
8,1000,1.37,5.83
16,1000,1.37,11.66
32,1000,1.40,22.91
64,1000,1.60,40.05
128,1000,1.64,78.06
256,1000,1.90,134.75
512,1000,1.97,260.29
1024,1000,2.18,470.20
2048,1000,2.87,714.72
4096,1000,3.60,1138.42
8192,1000,4.55,1801.79
16384,1000,6.39,2565.47
32768,1000,10.57,3100.72
65536,640,13.61,4813.67
131072,320,22.75,5761.28
262144,160,33.51,7822.51
524288,80,56.02,9358.14
1048576,40,98.57,10638.20
2097152,20,184.33,11377.16
4194304,10,354.05,11846.48
8388608,5,698.73,12005.53
16777216,2,1387.06,12095.54
33554432,1,2768.99,12117.92
67108864,1,5517.45,12163.02
134217728,1,10986.88,12216.18
268435456,1,22004.46,12199.14
