0,1000,1.37,0.00
1,1000,1.36,0.74
2,1000,1.37,1.46
4,1000,1.36,2.93
8,1000,1.36,5.87
16,1000,1.37,11.68
32,1000,1.39,22.97
64,1000,1.69,37.80
128,1000,1.74,73.60
256,1000,2.00,128.21
512,1000,2.07,247.16
1024,1000,2.31,443.37
2048,1000,2.98,686.90
4096,1000,3.97,1030.82
8192,1000,5.52,1483.05
16384,1000,7.36,2226.37
32768,1000,10.04,3263.95
65536,640,14.49,4521.71
131072,320,23.52,5572.28
262144,160,33.96,7720.00
524288,80,58.13,9019.94
1048576,40,98.93,10599.46
2097152,20,184.84,11345.94
4194304,10,355.38,11802.24
8388608,5,698.14,12015.73
16777216,2,1385.85,12106.05
33554432,1,2760.18,12156.60
67108864,1,5513.16,12172.50
134217728,1,11021.18,12178.16
268435456,1,22054.12,12171.67
