0,1000,0.44,0.00
1,1000,0.45,2.24
2,1000,0.45,4.45
4,1000,0.45,8.89
8,1000,0.45,17.78
16,1000,0.45,35.82
32,1000,0.49,65.44
64,1000,0.48,132.27
128,1000,0.58,222.58
256,1000,0.62,411.42
512,1000,0.94,543.33
1024,1000,0.98,1040.96
2048,1000,1.13,1805.17
4096,1000,1.63,2519.58
8192,1000,2.04,4005.92
16384,1000,3.60,4551.85
32768,1000,5.59,5857.74
65536,640,9.36,6999.19
131072,320,15.28,8577.60
262144,160,28.63,9157.02
524288,80,71.30,7353.27
1048576,40,136.56,7678.26
2097152,20,257.82,8134.15
4194304,10,512.32,8186.93
8388608,5,1063.57,7887.20
16777216,2,2312.34,7255.51
33554432,1,7937.52,4227.32
67108864,1,15876.99,4226.80
134217728,1,31654.57,4240.07
268435456,1,62670.09,4283.31
