0,1000,8.66,0.00
1,1000,8.79,0.11
2,1000,8.79,0.23
4,1000,8.81,0.45
8,1000,8.77,0.91
16,1000,8.99,1.78
32,1000,9.06,3.53
64,1000,8.77,7.30
128,1000,9.09,14.08
256,1000,9.12,28.06
512,1000,9.17,55.82
1024,1000,10.43,98.22
2048,1000,9.67,211.80
4096,1000,11.70,350.20
8192,1000,12.36,662.56
16384,1000,17.00,963.56
32768,1000,26.88,1218.96
65536,640,62.48,1048.84
131072,320,88.67,1478.18
262144,160,136.05,1926.86
524288,80,208.04,2520.10
1048576,40,358.92,2921.46
2097152,20,677.54,3095.26
4194304,10,1338.15,3134.41
8388608,5,2647.79,3168.15
16777216,2,5401.10,3106.26
33554432,1,10826.97,3099.15
67108864,1,21546.64,3114.59
134217728,1,43166.99,3109.27
268435456,1,85916.99,3124.36
