0,1000,0.43,0.00
1,1000,0.42,2.40
2,1000,0.43,4.66
4,1000,0.42,9.59
8,1000,0.42,19.10
16,1000,0.42,38.35
32,1000,0.56,57.11
64,1000,0.57,112.34
128,1000,1.05,121.76
256,1000,1.08,236.70
512,1000,1.18,432.16
1024,1000,1.36,753.10
2048,1000,2.09,981.19
4096,1000,2.97,1380.14
8192,1000,4.64,1763.69
16384,1000,7.03,2331.86
32768,1000,12.70,2579.26
65536,640,23.35,2807.14
131072,320,44.23,2963.28
262144,160,14.62,17927.69
524288,80,26.84,19531.37
1048576,40,60.39,17363.93
2097152,20,152.53,13749.54
4194304,10,330.01,12709.50
8388608,5,748.65,11205.04
16777216,2,2318.00,7237.79
33554432,1,6334.67,5296.95
67108864,1,12955.59,5179.92
134217728,1,26149.18,5132.77
268435456,1,51928.45,5169.33
